,Lyrics,URL
283,Have Yourself A Merry Little Christmas [Jo Whiley/BBC Radio 1],/lyric/37864299/Coldplay/Have+Yourself+A+Merry+Little+Christmas+%5BJo+Whiley-BBC+Radio+1%5D
284,Higher Power [ZHU Remix],/lyric/38494667/Coldplay/Higher+Power+%5BZHU+Remix%5D
285,Clocks [Live 2003],/lyric/12783374/Coldplay/Clocks+%5BLive+2003%5D
286,Lovers in Japan [Osaka Sun Mix; Version],/lyric/17664104/Coldplay/Lovers+in+Japan+%5BOsaka+Sun+Mix%3B+Version%5D
287,Life In Technicolor II,/lyric/17664105/Coldplay/Life+In+Technicolor+II
288,A Sky Full of Stars [Radio Edit],/lyric/31158428/Coldplay/A+Sky+Full+of+Stars+%5BRadio+Edit%5D
289,Everglow [(Single Version Edit)],/lyric/36042355/Coldplay/Everglow+%5B%28Single+Version+Edit%29%5D
290,My Universe,/lyric/38695618/Coldplay/My+Universe
291,Coloratura,/lyric/38801079/Coldplay/Coloratura
292,Let Somebody Go,/lyric/38695612/Coldplay/Let+Somebody+Go
293,Humankind,/lyric/38695614/Coldplay/Humankind
294,Higher Power [Album Version],/lyric/38695615/Coldplay/Higher+Power+%5BAlbum+Version%5D
295,People of the Pride,/lyric/38695610/Coldplay/People+of+the+Pride
296,Biutyful,/lyric/38695609/Coldplay/Biutyful
297,My Universe [SUGA's Remix],/lyric/39050697/Coldplay/My+Universe+%5BSUGA%27s+Remix%5D
298,♾️,/lyric/39026447/Coldplay/%E2%99%BE%EF%B8%8F
299,My Universe [Supernova 7 Mix],/lyric/39047858/Coldplay/My+Universe+%5BSupernova+7+Mix%5D
300,My Universe [Acoustic Version],/lyric/39047857/Coldplay/My+Universe+%5BAcoustic+Version%5D
301,❍,/lyric/39026449/Coldplay/%E2%9D%8D
302,De Música Ligera,/lyric/35581264/Coldplay/De+M%C3%BAsica+Ligera
303,Viva La Vida [Live in Buenos Aires],/lyric/35580837/Coldplay/Viva+La+Vida+%5BLive+in+Buenos+Aires%5D
304,Up&Up [Radio Edit],/lyric/32837888/Coldplay/Up%26Up+%5BRadio+Edit%5D
